"Внешний код";"Наименование элемента";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена"""
"00-00000260";"Блок питания NA-12-12";"000260";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"472.00";"RUB"
"00-00000177";"Блок питания NA-18-12";"000177";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"814.00";"RUB"
"00-00001945";"Блок питания NA-24-12";"001945";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"873.00";"RUB"
"00-00000826";"Блок питания NA-36-12";"000826";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1333.00";"RUB"
"00-00001248";"Блок питания NA-48-12";"001248";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1427.00";"RUB"
"00-00002835";"Блок питания NA-60-12";"002835";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"1663.00";"RUB"
"00-00002838";"Блок питания NA-CN-25";"002838";"SWG";"Подсветка";"Блоки питания";"SWG NA. Адаптеры IP20";"212.00";"RUB"
"00-00001827";"Блок питания RC-100-24";"001827";"Lumker";"Подсветка";"Блоки питания";"LUMKER RC. Встраиваемые в профиль IP20";"7103.00";"RUB"
"";"";"";"";"Акция";"";"";"";""
"";"";"";"";"Акция";"Блоки питания";"";"";""
"00-00001826";"Блок питания RC-65-24";"001826";"Lumker";"Подсветка";"Блоки питания";"LUMKER RC. Встраиваемые в профиль IP20";"5475.00";"RUB"
"";"";"";"";"Акция";"";"";"";""
"";"";"";"";"Акция";"Блоки питания";"";"";""
"00000000105";"Блок питания S-100-12";"000105";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"1628.00";"RUB"
"00000000106";"Блок питания S-100-24";"000106";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"1770.00";"RUB"
"00000000433";"Блок питания S-1000-12";"000433";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"31777.00";"RUB"
"00000000434";"Блок питания S-1000-24";"000434";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"34172.00";"RUB"
"00000000160";"Блок питания S-120-12";"000160";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"1734.00";"RUB"
"09-00900045";"Блок питания S-15-12";"900045";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"554.00";"RUB"
"00000000107";"Блок питания S-150-12";"000107";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"1958.00";"RUB"
"00000000108";"Блок питания S-150-24";"000108";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"2017.00";"RUB"
"00000000217";"Блок питания S-1500-12";"000217";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"78871.00";"RUB"
"00-00001944";"Блок питания S-1500-24";"001944";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"81915.00";"RUB"
"00000000109";"Блок питания S-200-12";"000109";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"2265.00";"RUB"
"00000000110";"Блок питания S-200-24";"000110";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"2466.00";"RUB"
"00000000216";"Блок питания S-2000-12";"000216";"SWG";"Подсветка";"Блоки питания";"SWG S. Сетка IP20";"100382.00";"RUB"
