"Внешний код";"Длинное наименование [OLD_NAME]";"Артикул [ARTNUMBER]";"Бренд [MANUFACTURER]";"Название раздела";"Название раздела";"Название раздела";"Цена ""Розничная цена""";"Валюта для цены ""Розничная цена""";"Количество на складе ""Основной склад (с. Дмитровское)"""
"00000000269";"Блок Питания для ленты IP 67 пластик 100 W, 24V";"000269";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"4377.00";"RUB";"20"
"00000000096";"Блок Питания для ленты IP 67 пластик 12 W, 12V";"000096";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"979.00";"RUB";"227"
"00000000355";"Блок Питания для ленты IP 67 пластик 12 W, 24V";"000355";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1026.00";"RUB";""
"00000000230";"Блок Питания для ленты IP 67 пластик 15 W, 12V";"000230";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1180.00";"RUB";"78"
"00000000097";"Блок Питания для ленты IP 67 пластик 20 W, 12V";"000097";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1250.00";"RUB";"0"
"00000001091";"Блок Питания для ленты IP 67 пластик 20 W, 24V";"001091";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1463.00";"RUB";"104"
"00000000099";"Блок Питания для ленты IP 67 пластик 35 W, 12V";"000099";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1781.00";"RUB";"99"
"00000000356";"Блок Питания для ленты IP 67 пластик 35 W, 24V";"000356";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1923.00";"RUB";"268"
"00000000274";"Блок Питания для ленты IP 67 пластик 40 W, 12V";"000274";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"1899.00";"RUB";"142"
"00000000255";"Блок Питания для ленты IP 67 пластик 5 W, 12V";"000255";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"637.00";"RUB";"1292"
"00000000101";"Блок Питания для ленты IP 67 пластик 50 W, 12V";"000101";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2017.00";"RUB";"7"
"00000000270";"Блок Питания для ленты IP 67 пластик 50 W, 24V";"000270";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2124.00";"RUB";"306"
"00000000102";"Блок Питания для ленты IP 67 пластик 60 W, 12V";"000102";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2643.00";"RUB";"32"
"00000000357";"Блок Питания для ленты IP 67 пластик 60 W, 24V";"000357";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"2773.00";"RUB";"67"
"00000000103";"Блок Питания для ленты IP 67 пластик 75 W, 12V";"000103";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"3162.00";"RUB";"25"
"00000000271";"Блок Питания для ленты IP 67 пластик 75 W, 24V";"000271";"SWG";"Подсветка";"Блоки питания";"SWG LV. Пластик IP67";"3327.00";"RUB";"3"
"00-00001273";"MINI Al Блок питания TPW, 100 W Влагозащитный, 12 V";"001273";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3512.00";"RUB";"0"
"00-00001691";"MINI Al Блок питания TPW, 100 W Влагозащитный, 24 V";"001691";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3512.00";"RUB";"25"
"00-00001275";"MINI Al Блок питания TPW, 150 W Влагозащитный, 12 V";"001275";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3801.00";"RUB";"0"
"00-00001276";"MINI Al Блок питания TPW, 150 W Влагозащитный, 24 V";"001276";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"3801.00";"RUB";"0"
"00-00001277";"MINI Al Блок питания TPW, 200 W Влагозащитный, 12 V";"001277";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"4323.00";"RUB";"0"
"00-00001280";"MINI Al Блок питания TPW, 200 W Влагозащитный, 24 V";"001280";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"4323.00";"RUB";"0"
"00-00001278";"MINI Al Блок питания TPW, 250 W Влагозащитный, 12 V";"001278";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"5449.00";"RUB";"0"
"00-00001692";"MINI Al Блок питания TPW, 250 W Влагозащитный, 24 V";"001692";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"5449.00";"RUB";"0"
"00-00005626";"MINI Al Блок питания TPW, 30 W Влагозащитный, 12 V";"005626";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1576.00";"RUB";"0"
"00-00005629";"MINI Al Блок питания TPW, 30 W Влагозащитный, 24 V";"005629";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"1576.00";"RUB";"0"
"00-00001279";"MINI Al Блок питания TPW, 300 W Влагозащитный, 12 V";"001279";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"7025.00";"RUB";"0"
"09-00901281";"MINI Al Блок питания TPW, 300 W Влагозащитный, 24 V";"901281";"SWG";"Подсветка";"Блоки питания";"SWG MTPW. Компактные IP67";"7025.00";"RUB";"0"
